Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AccesViaDashboard,Chrome 112.0.0.0,,,2023-04-25 07:53:04,2023-04-25 07:54:43,1m - 38.461s,FAILED
,,,,,,,
Test Cases/AccessMyReviewsViaDashboradPage,Chrome 112.0.0.0,,,2023-04-25 07:53:04,2023-04-25 07:53:15,10.884s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:53:05,2023-04-25 07:53:08,3.225s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:53:08,2023-04-25 07:53:09,1.346s,PASSED
"setText(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:53:09,2023-04-25 07:53:10,1.130s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:53:10,2023-04-25 07:53:11,0.433s,PASSED
"click(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:53:11,2023-04-25 07:53:12,1.372s,PASSED
"click(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/p_(1) Pending Self Review""))",Chrome 112.0.0.0,,,2023-04-25 07:53:12,2023-04-25 07:53:14,2.061s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/h6_My Reviews""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:53:14,2023-04-25 07:53:15,1.091s,PASSED
,,,,,,,
Test Cases/AccessTimesheetViaDashboardPage,Chrome 112.0.0.0,,,2023-04-25 07:53:15,2023-04-25 07:53:24,9.007s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:53:15,2023-04-25 07:53:17,1.876s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:53:17,2023-04-25 07:53:18,1.148s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:53:18,2023-04-25 07:53:20,1.159s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:53:20,2023-04-25 07:53:20,0.420s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:53:20,2023-04-25 07:53:21,1.282s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/p_(9) Timesheets to Approve""))",Chrome 112.0.0.0,,,2023-04-25 07:53:21,2023-04-25 07:53:23,1.884s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h6_Select Employee""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:53:23,2023-04-25 07:53:24,1.009s,PASSED
,,,,,,,
Test Cases/AccessTimeTabViaWatchOnDashboard,Chrome 112.0.0.0,,,2023-04-25 07:53:24,2023-04-25 07:53:34,9.761s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:53:24,2023-04-25 07:53:26,1.859s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:53:26,2023-04-25 07:53:27,1.053s,PASSED
"setText(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:53:27,2023-04-25 07:53:28,1.151s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:53:28,2023-04-25 07:53:29,0.413s,PASSED
"click(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:53:29,2023-04-25 07:53:30,1.261s,PASSED
"click(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/i_Today_oxd-icon bi-stopwatch""))",Chrome 112.0.0.0,,,2023-04-25 07:53:30,2023-04-25 07:53:32,2.292s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/h6_Punch In""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:53:32,2023-04-25 07:53:34,1.575s,PASSED
,,,,,,,
Test Cases/AccsessRecruitmentViaDashboardPage,Chrome 112.0.0.0,,,2023-04-25 07:53:34,2023-04-25 07:54:03,29.289s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:53:34,2023-04-25 07:53:36,1.856s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:53:36,2023-04-25 07:53:37,1.039s,PASSED
"setText(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:53:37,2023-04-25 07:53:38,1.154s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:53:38,2023-04-25 07:53:39,0.429s,PASSED
"click(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:53:39,2023-04-25 07:53:40,1.225s,PASSED
"click(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/p_(1) Candidate to Interview""))",Chrome 112.0.0.0,,,2023-04-25 07:53:40,2023-04-25 07:53:42,1.910s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/h5_Candidates""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:53:42,2023-04-25 07:54:03,21.467s,FAILED
,,,,,,,
Test Cases/BuzzPageCanBeAccessedViaDashboard,Chrome 112.0.0.0,,,2023-04-25 07:54:03,2023-04-25 07:54:33,29.765s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:54:03,2023-04-25 07:54:05,1.898s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:54:05,2023-04-25 07:54:07,1.225s,PASSED
"setText(findTestObject(""Object Repository/New Folder (36)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:54:07,2023-04-25 07:54:08,1.177s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (36)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:54:08,2023-04-25 07:54:08,0.444s,PASSED
"click(findTestObject(""Object Repository/New Folder (36)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:54:08,2023-04-25 07:54:10,1.317s,PASSED
"click(findTestObject(""Object Repository/New Folder (36)/Page_OrangeHRM/a_Buzz""))",Chrome 112.0.0.0,,,2023-04-25 07:54:10,2023-04-25 07:54:12,2.111s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (36)/Page_OrangeHRM/p_Buzz Newsfeed""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:54:12,2023-04-25 07:54:33,21.423s,FAILED
,,,,,,,
Test Cases/AccessLeavePageViaLeaveRequestToApprove,Chrome 112.0.0.0,,,2023-04-25 07:54:33,2023-04-25 07:54:43,9.539s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 07:54:33,2023-04-25 07:54:35,1.890s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-25 07:54:35,2023-04-25 07:54:36,1.320s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-25 07:54:36,2023-04-25 07:54:38,1.170s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-25 07:54:38,2023-04-25 07:54:38,0.408s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-25 07:54:38,2023-04-25 07:54:39,1.266s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/p_(14) Leave Requests to Approve""))",Chrome 112.0.0.0,,,2023-04-25 07:54:39,2023-04-25 07:54:41,2.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/div_Leave List""), 20)",Chrome 112.0.0.0,,,2023-04-25 07:54:41,2023-04-25 07:54:43,1.271s,PASSED
